order_id,carrier,tracking_number,shipped_date,estimated_delivery,current_status,last_location
ORD100895,FedEx,UP7493985530,2025-10-05,2025-10-14,Delivered,"Boston, MA"
ORD100897,UPS,US4326009933,2025-12-02,2025-12-11,In Transit,"Nashville, TN"
ORD100898,DHL,DH2289118584,2026-02-12,2026-02-14,Returned to Sender,"Columbus, OH"
ORD100899,USPS,DH6297091582,2026-02-06,2026-02-15,Out for Delivery,"Minneapolis, MN"
ORD100901,DHL,UP6259640788,2025-11-13,2025-11-22,Delivered,"Nashville, TN"
ORD100903,FedEx,DH5708063733,2026-03-01,2026-03-06,In Transit,"Columbus, OH"
ORD100904,DHL,UP3035744928,2025-09-11,2025-09-16,Out for Delivery,"Austin, TX"
ORD100905,FedEx,UP1893380803,2026-07-20,2026-07-29,Delivered,"Miami, FL"
ORD100907,USPS,US8518995754,2026-06-24,2026-07-02,Returned to Sender,"Nashville, TN"
ORD100908,USPS,FE1471747600,2025-11-05,2025-11-10,In Transit,"Boston, MA"
ORD100909,UPS,UP2411483319,2026-02-12,2026-02-20,Delivered,"Raleigh, NC"
ORD100910,FedEx,UP1972472567,2025-09-24,2025-09-26,In Transit,"Minneapolis, MN"
ORD100911,FedEx,US2139464266,2025-11-20,2025-11-26,Out for Delivery,"Miami, FL"
ORD100912,DHL,FE9483932995,2026-03-12,2026-03-15,Delivered,"Denver, CO"
ORD100913,DHL,DH4976407920,2026-05-29,2026-06-02,Out for Delivery,"Miami, FL"
ORD100914,USPS,UP5279561914,2025-08-17,2025-08-24,Delivered,"Atlanta, GA"
ORD100915,DHL,FE5637866661,2025-09-08,2025-09-11,Returned to Sender,"Chicago, IL"
ORD100916,DHL,FE3814082218,2026-07-25,2026-07-31,Out for Delivery,"Salt Lake City, UT"
ORD100918,DHL,US9529261412,2026-04-02,2026-04-05,In Transit,"Austin, TX"
ORD100919,USPS,UP2423765549,2025-12-24,2025-12-29,Delivered,"Denver, CO"
ORD100920,USPS,FE1008661237,2026-03-09,2026-03-18,Delivered,"San Diego, CA"
ORD100921,DHL,US3567893482,2026-04-07,2026-04-14,In Transit,"Boston, MA"
ORD100922,USPS,US4807543044,2026-02-06,2026-02-11,Delivered,"Phoenix, AZ"
ORD100923,FedEx,US5329305403,2026-03-18,2026-03-26,Delivered,"Phoenix, AZ"
ORD100924,UPS,US4470448240,2025-09-12,2025-09-20,Delayed - carrier exception,"Nashville, TN"
ORD100925,UPS,FE5817727629,2026-06-23,2026-07-01,In Transit,"Seattle, WA"
ORD100926,USPS,DH6122198471,2025-10-10,2025-10-16,Delivered,"Austin, TX"
ORD100928,USPS,UP1625428429,2025-09-30,2025-10-02,Returned to Sender,"Nashville, TN"
ORD100929,FedEx,DH3251382571,2026-06-01,2026-06-08,Delivered,"Portland, OR"
ORD100931,UPS,FE1752848400,2026-07-31,2026-08-09,Delivered,"Atlanta, GA"
ORD100932,UPS,FE8381865861,2026-05-12,2026-05-15,Out for Delivery,"Raleigh, NC"
ORD100933,USPS,FE2195106251,2025-12-01,2025-12-08,Delivered,"Columbus, OH"
ORD100934,FedEx,FE6963593440,2025-08-01,2025-08-03,In Transit,"Boston, MA"
ORD100935,UPS,DH2779724914,2025-11-27,2025-12-05,Delivered,"Phoenix, AZ"
ORD100936,DHL,DH7003375034,2026-07-05,2026-07-11,Delivered,"Chicago, IL"
ORD100937,USPS,FE4293348119,2026-04-13,2026-04-17,Delivered,"Chicago, IL"
ORD100938,USPS,US7264363960,2026-07-31,2026-08-03,Delivered,"Phoenix, AZ"
ORD100940,USPS,US5649589392,2026-02-06,2026-02-13,Delivered,"Raleigh, NC"
ORD100941,UPS,FE2901046408,2025-10-12,2025-10-20,Delivered,"Boston, MA"
ORD100942,UPS,UP9159781257,2025-10-19,2025-10-22,Delivered,"Phoenix, AZ"
ORD100943,FedEx,US2538851607,2026-03-31,2026-04-04,Returned to Sender,"Miami, FL"
ORD100944,USPS,UP3092566358,2026-03-04,2026-03-09,Delivered,"Chicago, IL"
ORD100945,USPS,DH9864771002,2025-08-29,2025-09-05,Delivered,"Boston, MA"
ORD100946,USPS,UP2006451779,2026-06-03,2026-06-05,Returned to Sender,"Atlanta, GA"
ORD100947,FedEx,US2515022943,2026-03-26,2026-04-04,Delivered,"Austin, TX"
ORD100948,DHL,FE1536963767,2025-09-24,2025-10-03,Delivered,"Raleigh, NC"
ORD100949,FedEx,UP1567130806,2026-05-12,2026-05-15,In Transit,"Minneapolis, MN"
ORD100950,USPS,UP1581896260,2026-02-17,2026-02-25,Delivered,"Chicago, IL"
ORD100951,USPS,DH3138808618,2025-10-03,2025-10-09,Delivered,"Raleigh, NC"
ORD100952,UPS,UP4752519255,2025-10-17,2025-10-24,Returned to Sender,"Minneapolis, MN"
ORD100953,UPS,UP9464945840,2025-11-16,2025-11-24,In Transit,"Boston, MA"
ORD100954,FedEx,US4846215290,2026-08-01,2026-08-09,Delivered,"Phoenix, AZ"
ORD100957,DHL,US7059050795,2025-09-02,2025-09-09,Returned to Sender,"Raleigh, NC"
ORD100958,DHL,UP2352491308,2025-12-28,2025-12-30,Delivered,"Atlanta, GA"
ORD100961,USPS,FE1799063485,2025-11-18,2025-11-24,Delivered,"Boston, MA"
ORD100963,UPS,UP5697007311,2025-10-10,2025-10-12,Out for Delivery,"Chicago, IL"
ORD100965,UPS,DH1860974508,2025-09-02,2025-09-07,Delivered,"Raleigh, NC"
ORD100966,USPS,UP4232985402,2025-10-16,2025-10-24,Delivered,"Nashville, TN"
ORD100967,UPS,DH8203426392,2026-07-13,2026-07-16,In Transit,"San Diego, CA"
ORD100968,USPS,US6219025091,2026-03-10,2026-03-15,In Transit,"Seattle, WA"
ORD100969,FedEx,UP4158080357,2025-08-01,2025-08-03,Delivered,"Miami, FL"
ORD100970,USPS,FE3951087403,2025-09-04,2025-09-12,Delivered,"Salt Lake City, UT"
ORD100971,FedEx,UP9770592892,2026-04-25,2026-05-02,Delivered,"Miami, FL"
ORD100972,USPS,FE1159780353,2026-02-23,2026-03-04,Delivered,"Miami, FL"
ORD100973,DHL,FE9955811913,2026-02-25,2026-03-05,Delivered,"Boston, MA"
ORD100974,DHL,FE8384840466,2026-02-13,2026-02-21,Delivered,"Denver, CO"
ORD100975,USPS,DH4030482810,2026-05-01,2026-05-08,Delivered,"Boston, MA"
ORD100976,FedEx,FE8221212040,2026-02-03,2026-02-12,Out for Delivery,"Phoenix, AZ"
ORD100978,DHL,DH6248358004,2025-08-03,2025-08-12,Delivered,"Minneapolis, MN"
ORD100979,DHL,UP9622808555,2026-02-05,2026-02-10,Returned to Sender,"Austin, TX"
ORD100981,DHL,UP3587885883,2025-09-30,2025-10-09,Delivered,"Raleigh, NC"
ORD100983,FedEx,DH5014401042,2026-07-12,2026-07-21,Delivered,"Portland, OR"
ORD100985,USPS,US1069053522,2026-02-23,2026-02-28,In Transit,"Chicago, IL"
ORD100986,DHL,UP1782968126,2025-10-18,2025-10-25,Returned to Sender,"Chicago, IL"
ORD100987,FedEx,FE6731955695,2025-09-08,2025-09-13,Delivered,"Boston, MA"
ORD100989,DHL,US7862813824,2026-04-15,2026-04-21,In Transit,"Nashville, TN"
ORD100991,UPS,DH4572357978,2026-06-03,2026-06-09,Delivered,"Boston, MA"
ORD100993,UPS,US1011225863,2026-04-22,2026-05-01,Delivered,"Raleigh, NC"
ORD100994,FedEx,FE6746324509,2025-08-11,2025-08-13,Delivered,"Phoenix, AZ"
ORD100996,UPS,FE7670274698,2026-06-04,2026-06-06,Delivered,"Miami, FL"
ORD100997,UPS,FE1988336985,2025-08-01,2025-08-08,Delivered,"Miami, FL"
ORD100998,FedEx,FE8023085096,2026-06-21,2026-06-25,Delivered,"Miami, FL"
ORD101000,USPS,UP9996515483,2025-09-08,2025-09-17,Delivered,"Columbus, OH"
ORD101001,FedEx,FE7381555874,2026-01-06,2026-01-13,Delivered,"Raleigh, NC"
ORD101003,FedEx,DH5988454291,2025-11-20,2025-11-27,In Transit,"Austin, TX"
ORD101004,UPS,DH8059128209,2026-06-01,2026-06-03,Delivered,"Columbus, OH"
ORD101005,USPS,UP8767119753,2026-01-15,2026-01-17,Out for Delivery,"Portland, OR"
ORD101006,USPS,FE7687451754,2025-10-09,2025-10-18,Delivered,"Boston, MA"
ORD101007,DHL,UP3455248854,2025-08-12,2025-08-20,Delivered,"Phoenix, AZ"
ORD101008,FedEx,US4323736983,2026-05-31,2026-06-08,In Transit,"Austin, TX"
ORD101009,DHL,FE3690622447,2025-11-03,2025-11-10,Returned to Sender,"Raleigh, NC"
ORD101010,FedEx,DH2182134112,2025-10-11,2025-10-19,Delivered,"Nashville, TN"
ORD101011,FedEx,FE2651164873,2026-02-22,2026-02-27,Delivered,"Nashville, TN"
ORD101013,USPS,DH3965157605,2025-12-12,2025-12-18,Delivered,"Austin, TX"
ORD101014,DHL,DH4388668343,2026-01-04,2026-01-06,Out for Delivery,"San Diego, CA"
ORD101015,UPS,US3176159094,2025-12-08,2025-12-15,Returned to Sender,"Salt Lake City, UT"
ORD101016,USPS,US2032242023,2025-11-25,2025-12-03,Delayed - carrier exception,"Boston, MA"
ORD101017,UPS,DH6376535626,2026-03-25,2026-03-31,Delivered,"Chicago, IL"
ORD101018,USPS,DH2990636104,2026-03-08,2026-03-12,Delivered,"Miami, FL"
ORD101020,USPS,FE4974460167,2025-08-24,2025-08-30,Delayed - carrier exception,"Raleigh, NC"
ORD101021,USPS,FE3825803399,2026-01-20,2026-01-22,Out for Delivery,"Atlanta, GA"
ORD101022,UPS,UP8518755959,2026-01-08,2026-01-14,Delivered,"Minneapolis, MN"
ORD101023,UPS,DH2537468258,2026-01-17,2026-01-19,Delivered,"Atlanta, GA"
ORD101024,UPS,US6792027944,2025-10-16,2025-10-25,Out for Delivery,"Chicago, IL"
ORD101025,USPS,US8854624761,2025-12-10,2025-12-13,In Transit,"Portland, OR"
ORD101026,UPS,DH6369481313,2025-11-21,2025-11-30,Delivered,"Chicago, IL"
ORD101027,USPS,FE7193666870,2025-10-10,2025-10-18,Delivered,"Austin, TX"
ORD101029,UPS,UP7093583669,2025-09-08,2025-09-15,Delivered,"San Diego, CA"
ORD101030,UPS,FE5918809898,2025-09-22,2025-09-28,In Transit,"Raleigh, NC"
ORD101031,USPS,UP7319531805,2026-02-21,2026-02-24,In Transit,"Chicago, IL"
ORD101033,FedEx,FE4675434286,2025-12-25,2026-01-01,In Transit,"Chicago, IL"
ORD101034,DHL,UP2940957936,2026-04-06,2026-04-09,Delivered,"Raleigh, NC"
ORD101035,UPS,DH6679076361,2025-09-26,2025-09-29,Delayed - carrier exception,"Columbus, OH"
ORD101036,DHL,US4131012566,2026-03-11,2026-03-20,In Transit,"Austin, TX"
ORD101037,DHL,UP7702130341,2025-08-28,2025-09-01,Delivered,"Minneapolis, MN"
ORD101038,DHL,FE4346258017,2025-11-18,2025-11-27,In Transit,"Minneapolis, MN"
ORD101039,DHL,FE1191785346,2025-11-15,2025-11-19,Delivered,"Chicago, IL"
ORD101040,USPS,DH1258155182,2026-07-06,2026-07-11,Delivered,"Chicago, IL"
ORD101041,FedEx,UP2765552153,2025-10-16,2025-10-21,Out for Delivery,"Seattle, WA"
ORD101042,USPS,DH7134977151,2025-11-30,2025-12-02,Returned to Sender,"Portland, OR"
ORD101043,FedEx,DH5785194459,2025-08-11,2025-08-20,Out for Delivery,"Salt Lake City, UT"
ORD101044,FedEx,FE7967363739,2026-02-03,2026-02-06,Delivered,"Minneapolis, MN"
ORD101045,USPS,DH4533480711,2026-02-03,2026-02-11,In Transit,"Phoenix, AZ"
ORD101046,UPS,DH6816998048,2026-03-07,2026-03-15,Delivered,"Minneapolis, MN"
ORD101047,DHL,FE7548763875,2026-02-22,2026-03-03,Returned to Sender,"Chicago, IL"
ORD101048,DHL,UP4124679924,2025-10-24,2025-10-28,Delivered,"Portland, OR"
ORD101050,DHL,UP7080205645,2026-07-11,2026-07-19,In Transit,"Miami, FL"
ORD101051,FedEx,UP5128714209,2025-12-08,2025-12-17,Returned to Sender,"Salt Lake City, UT"
ORD101053,DHL,UP3486826558,2026-05-22,2026-05-28,Delivered,"Austin, TX"
ORD101054,FedEx,DH9358007444,2025-10-26,2025-10-28,Delivered,"Denver, CO"
ORD101055,DHL,US3578129028,2026-04-04,2026-04-10,In Transit,"Nashville, TN"
ORD101056,FedEx,FE5335396510,2025-10-09,2025-10-17,Delivered,"Phoenix, AZ"
ORD101057,USPS,DH4513180596,2026-06-21,2026-06-30,Delayed - carrier exception,"Phoenix, AZ"
ORD101058,UPS,FE1203414538,2025-09-23,2025-09-26,Delivered,"Denver, CO"
ORD101059,DHL,UP3968050530,2026-04-14,2026-04-18,Delivered,"Denver, CO"
ORD101060,FedEx,UP6565648575,2025-12-01,2025-12-07,Delivered,"San Diego, CA"
ORD101061,DHL,US3714924293,2026-04-16,2026-04-19,Out for Delivery,"Seattle, WA"
ORD101062,FedEx,US8868686875,2026-01-24,2026-01-28,Delayed - carrier exception,"Phoenix, AZ"
ORD101063,USPS,FE4542551744,2025-09-25,2025-10-01,Delivered,"Phoenix, AZ"
ORD101064,DHL,DH8459835842,2025-12-08,2025-12-13,Delivered,"Austin, TX"
ORD101065,UPS,FE7274527392,2026-06-30,2026-07-02,Delivered,"Miami, FL"
ORD101066,DHL,UP9307779046,2025-11-04,2025-11-09,Delivered,"Chicago, IL"
ORD101069,FedEx,US6541320763,2026-04-25,2026-04-28,Delivered,"Salt Lake City, UT"
ORD101071,FedEx,US2176668292,2026-01-06,2026-01-14,Delivered,"Raleigh, NC"
ORD101072,UPS,DH5462176408,2025-12-25,2025-12-28,Delivered,"Salt Lake City, UT"
ORD101073,FedEx,FE9706591774,2025-10-07,2025-10-11,Out for Delivery,"Boston, MA"
ORD101074,DHL,DH2490242444,2026-01-10,2026-01-19,Delivered,"Boston, MA"
ORD101075,USPS,UP5934042475,2025-09-18,2025-09-23,In Transit,"Minneapolis, MN"
ORD101076,USPS,UP7324939879,2026-07-11,2026-07-16,Delivered,"Chicago, IL"
ORD101077,UPS,UP6711316233,2026-04-27,2026-05-01,In Transit,"Atlanta, GA"
ORD101079,UPS,US3581016416,2026-06-21,2026-06-27,In Transit,"Phoenix, AZ"
ORD101080,FedEx,US2176686702,2026-02-25,2026-03-02,Delivered,"Austin, TX"
ORD101081,DHL,FE3759421055,2025-11-17,2025-11-26,In Transit,"Austin, TX"
ORD101082,UPS,US2924277998,2026-05-26,2026-05-28,Delivered,"Minneapolis, MN"
ORD101083,FedEx,DH6551379126,2026-02-01,2026-02-09,Out for Delivery,"Austin, TX"
ORD101084,USPS,FE6489994026,2026-07-17,2026-07-25,Returned to Sender,"Columbus, OH"
ORD101085,USPS,FE9165595583,2026-06-26,2026-07-05,Delayed - carrier exception,"Phoenix, AZ"
ORD101086,FedEx,UP2419222174,2026-03-11,2026-03-14,Delivered,"Atlanta, GA"
ORD101088,USPS,US1948048352,2026-04-22,2026-04-30,Delayed - carrier exception,"Chicago, IL"
ORD101089,USPS,US8336289649,2025-08-11,2025-08-16,Delivered,"Austin, TX"
ORD101090,USPS,US8215557184,2026-02-08,2026-02-16,Delivered,"Chicago, IL"
ORD101091,UPS,US2811097232,2025-12-10,2025-12-14,Delivered,"Chicago, IL"
ORD101093,DHL,US3991961865,2026-03-25,2026-03-30,Out for Delivery,"Boston, MA"
ORD101094,USPS,UP7817973529,2026-05-12,2026-05-17,Delivered,"Atlanta, GA"
ORD101095,USPS,UP9016884525,2026-03-24,2026-03-30,Delivered,"Austin, TX"
ORD101096,DHL,UP1893185372,2025-09-10,2025-09-17,Delivered,"Minneapolis, MN"
ORD101098,UPS,US5096673389,2026-04-17,2026-04-25,Delivered,"Phoenix, AZ"
ORD101100,FedEx,DH8875029005,2026-05-20,2026-05-28,In Transit,"Denver, CO"
ORD101101,FedEx,US8431007395,2026-05-08,2026-05-16,Delivered,"Boston, MA"
ORD101102,DHL,DH8876514100,2025-09-17,2025-09-26,Delivered,"San Diego, CA"
ORD101103,FedEx,US4085199851,2026-07-30,2026-08-06,Delivered,"Austin, TX"
ORD101105,FedEx,DH2615321904,2026-04-04,2026-04-07,Delivered,"Chicago, IL"
ORD101106,USPS,UP1011436449,2026-03-19,2026-03-25,Delivered,"Nashville, TN"
ORD101108,UPS,FE5902079140,2026-01-30,2026-02-02,Delivered,"Miami, FL"
ORD101109,UPS,FE7881900925,2025-12-16,2025-12-23,Returned to Sender,"Raleigh, NC"
ORD101110,DHL,US4716653684,2026-06-13,2026-06-17,Delivered,"Miami, FL"
ORD101111,FedEx,FE4145374623,2026-06-15,2026-06-20,Returned to Sender,"Atlanta, GA"
ORD101112,DHL,UP4637801564,2025-09-02,2025-09-09,Delivered,"Columbus, OH"
ORD101113,USPS,DH1378477126,2025-10-28,2025-10-31,Delivered,"Denver, CO"
ORD101114,FedEx,US2274886145,2026-06-24,2026-06-26,Returned to Sender,"Chicago, IL"
ORD101115,DHL,DH8335462339,2025-09-15,2025-09-22,Delivered,"Phoenix, AZ"
ORD101117,FedEx,FE8046823725,2025-10-12,2025-10-15,Delivered,"Salt Lake City, UT"
ORD101118,UPS,DH4973081946,2025-08-08,2025-08-11,Delivered,"Boston, MA"
ORD101121,UPS,FE8925439539,2025-10-10,2025-10-15,In Transit,"Seattle, WA"
ORD101122,USPS,US5486934774,2026-04-11,2026-04-18,Returned to Sender,"Denver, CO"
ORD101123,FedEx,UP4572354209,2026-06-24,2026-06-30,Delivered,"Miami, FL"
ORD101124,FedEx,US7166076617,2026-01-30,2026-02-05,Delivered,"Nashville, TN"
ORD101125,DHL,DH6930993187,2025-11-13,2025-11-17,In Transit,"Chicago, IL"
ORD101126,UPS,FE4799847242,2026-06-11,2026-06-15,Out for Delivery,"Salt Lake City, UT"
ORD101127,FedEx,FE1071624258,2026-05-13,2026-05-22,Delayed - carrier exception,"Salt Lake City, UT"
ORD101128,DHL,FE9405393496,2025-12-11,2025-12-14,Delivered,"Atlanta, GA"
ORD101129,UPS,UP6986510954,2025-10-06,2025-10-13,Delivered,"San Diego, CA"
ORD101130,UPS,UP4281104738,2025-12-10,2025-12-14,Out for Delivery,"Phoenix, AZ"
ORD101132,UPS,DH9476401487,2025-12-31,2026-01-06,In Transit,"Phoenix, AZ"
ORD101133,USPS,US7969239352,2026-01-14,2026-01-21,In Transit,"Salt Lake City, UT"
ORD101134,DHL,DH6399512156,2026-03-24,2026-03-27,Delivered,"Minneapolis, MN"
ORD101136,UPS,US4514041298,2025-09-26,2025-09-28,Delivered,"Columbus, OH"
ORD101137,USPS,UP4200212544,2026-02-18,2026-02-22,Delivered,"Salt Lake City, UT"
ORD101138,FedEx,FE5169675781,2026-06-05,2026-06-11,In Transit,"Boston, MA"
ORD101139,UPS,US7558344464,2025-11-12,2025-11-21,Delivered,"San Diego, CA"
ORD101140,UPS,DH9765611261,2026-04-05,2026-04-12,Delivered,"Chicago, IL"
ORD101142,USPS,FE9674159685,2025-09-25,2025-09-29,Delivered,"Minneapolis, MN"
ORD101143,USPS,DH7493984119,2026-01-11,2026-01-16,Delivered,"Columbus, OH"
ORD101144,FedEx,DH7370615400,2025-08-03,2025-08-06,Delayed - carrier exception,"Columbus, OH"
ORD101145,FedEx,DH9236256345,2026-05-21,2026-05-26,In Transit,"Raleigh, NC"
ORD101146,DHL,US5452594364,2026-04-24,2026-05-02,Delivered,"Phoenix, AZ"
ORD101147,DHL,FE3420975571,2026-01-04,2026-01-13,Returned to Sender,"Raleigh, NC"
ORD101148,FedEx,US6199096822,2026-05-25,2026-05-31,Delivered,"Nashville, TN"
ORD101150,USPS,DH2093337078,2026-07-06,2026-07-13,Delivered,"Portland, OR"
ORD101151,UPS,US9447076195,2026-06-28,2026-07-02,Delivered,"Chicago, IL"
ORD101152,DHL,DH1190315635,2026-07-13,2026-07-16,Delayed - carrier exception,"Raleigh, NC"
ORD101153,FedEx,US5373319908,2025-12-14,2025-12-20,Delivered,"Portland, OR"
ORD101154,USPS,FE6225910491,2026-06-01,2026-06-08,Delivered,"Columbus, OH"
ORD101155,DHL,US9724108440,2026-07-31,2026-08-02,Delivered,"Denver, CO"
ORD101156,UPS,US5715301959,2026-03-14,2026-03-22,In Transit,"San Diego, CA"
ORD101158,DHL,FE3100452758,2026-07-13,2026-07-20,Delivered,"San Diego, CA"
ORD101159,UPS,FE5614558653,2026-05-01,2026-05-04,Returned to Sender,"Minneapolis, MN"
ORD101160,DHL,DH4798636315,2026-03-27,2026-04-03,Delivered,"Portland, OR"
ORD101161,UPS,US2782757414,2026-04-24,2026-04-26,In Transit,"Miami, FL"
ORD101162,UPS,FE3824691843,2026-05-31,2026-06-04,Delivered,"Chicago, IL"
ORD101163,USPS,US6662799283,2026-02-11,2026-02-15,Delivered,"Nashville, TN"
ORD101165,USPS,UP1248844772,2026-07-18,2026-07-20,Delivered,"Raleigh, NC"
ORD101166,FedEx,US8997037294,2026-06-26,2026-07-02,Delayed - carrier exception,"Minneapolis, MN"
ORD101167,USPS,FE4862894413,2026-02-11,2026-02-16,Out for Delivery,"Phoenix, AZ"
ORD101168,USPS,DH9194529772,2025-10-26,2025-11-03,Delivered,"Salt Lake City, UT"
ORD101170,USPS,DH3409107975,2026-07-01,2026-07-05,Delivered,"Austin, TX"
ORD101171,USPS,US8713096714,2026-04-13,2026-04-21,Delivered,"Nashville, TN"
ORD101172,FedEx,DH1066425155,2026-03-29,2026-04-03,Delivered,"Columbus, OH"
ORD101173,DHL,DH5099480454,2026-07-06,2026-07-10,Delivered,"Columbus, OH"
ORD101175,UPS,UP2280082896,2026-05-21,2026-05-23,Delivered,"Seattle, WA"
ORD101176,USPS,US2482455887,2026-06-23,2026-07-02,Delivered,"Atlanta, GA"
ORD101178,DHL,FE3117179317,2026-01-16,2026-01-23,In Transit,"Minneapolis, MN"
ORD101179,UPS,US8295633518,2025-11-08,2025-11-14,Delivered,"Denver, CO"
ORD101180,USPS,FE8871508287,2026-02-16,2026-02-25,In Transit,"Boston, MA"
ORD101181,DHL,UP4619620406,2026-07-08,2026-07-15,Delivered,"Raleigh, NC"
ORD101182,DHL,US2461516654,2025-12-01,2025-12-10,Delivered,"Phoenix, AZ"
ORD101183,FedEx,FE9550537585,2026-05-05,2026-05-10,In Transit,"Nashville, TN"
ORD101185,USPS,DH6849991684,2026-04-03,2026-04-12,Delivered,"Boston, MA"
ORD101186,UPS,US7472128835,2026-03-02,2026-03-06,In Transit,"Boston, MA"
ORD101187,DHL,FE8914984681,2025-08-13,2025-08-20,Delivered,"San Diego, CA"
ORD101188,DHL,DH9119080119,2026-06-02,2026-06-11,Delivered,"Austin, TX"
ORD101189,DHL,DH3530850571,2026-03-27,2026-04-04,In Transit,"Chicago, IL"
ORD101190,UPS,FE6016200419,2025-09-04,2025-09-12,Returned to Sender,"Seattle, WA"
ORD101191,FedEx,DH4820789990,2025-11-07,2025-11-13,In Transit,"Boston, MA"
ORD101192,UPS,US1388024358,2026-05-17,2026-05-24,Delivered,"Minneapolis, MN"
ORD101193,DHL,US2054023347,2026-04-04,2026-04-10,Delivered,"Miami, FL"
ORD101194,UPS,DH9561406929,2026-06-19,2026-06-21,Delivered,"Phoenix, AZ"
ORD101195,UPS,UP1724920897,2026-01-19,2026-01-23,In Transit,"Austin, TX"
ORD101196,UPS,UP3078919449,2026-04-05,2026-04-13,Returned to Sender,"Boston, MA"
ORD101202,UPS,FE9109095656,2026-04-09,2026-04-18,Delivered,"Columbus, OH"
ORD101203,USPS,UP4544364423,2026-03-28,2026-04-06,Delivered,"Atlanta, GA"
ORD101204,USPS,DH3385384970,2026-02-19,2026-02-24,Delivered,"Austin, TX"
ORD101206,FedEx,DH1029924437,2025-10-19,2025-10-26,Delivered,"Miami, FL"
ORD101207,FedEx,UP8391082548,2025-09-23,2025-09-27,In Transit,"Austin, TX"
ORD101208,DHL,US3171195599,2026-07-28,2026-08-02,Delayed - carrier exception,"Minneapolis, MN"
ORD101210,FedEx,US4928779669,2026-06-06,2026-06-15,Returned to Sender,"Atlanta, GA"
ORD101211,FedEx,UP2930724174,2026-03-29,2026-04-03,In Transit,"San Diego, CA"
ORD101212,USPS,DH7523591587,2026-07-28,2026-08-04,Delivered,"Nashville, TN"
ORD101215,USPS,FE3583025487,2025-10-03,2025-10-05,Returned to Sender,"Columbus, OH"
ORD101216,UPS,UP6866785139,2026-04-05,2026-04-13,Delivered,"San Diego, CA"
ORD101217,FedEx,FE8210261862,2025-08-18,2025-08-24,In Transit,"Salt Lake City, UT"
ORD101218,FedEx,FE7535666171,2025-09-25,2025-09-27,Delivered,"Salt Lake City, UT"
ORD101219,USPS,UP8567619998,2025-11-23,2025-12-02,In Transit,"Minneapolis, MN"
ORD101220,UPS,US4347379083,2026-02-28,2026-03-08,Delivered,"Minneapolis, MN"
ORD101221,DHL,DH6633984108,2025-08-21,2025-08-29,Delivered,"Atlanta, GA"
ORD101222,UPS,FE9852636930,2026-04-09,2026-04-15,Delivered,"Seattle, WA"
ORD101223,USPS,UP7499935462,2025-12-17,2025-12-21,Delivered,"Minneapolis, MN"
ORD101224,DHL,UP6485679107,2026-01-18,2026-01-20,Delivered,"Salt Lake City, UT"
ORD101225,DHL,US9682872527,2026-07-13,2026-07-17,Delivered,"Atlanta, GA"
ORD101226,FedEx,UP5862199360,2025-11-06,2025-11-09,Delivered,"Boston, MA"
ORD101227,FedEx,US1652343126,2026-04-08,2026-04-14,Delayed - carrier exception,"Raleigh, NC"
ORD101228,FedEx,UP2377575976,2026-01-22,2026-01-29,In Transit,"Nashville, TN"
ORD101230,DHL,DH4425416154,2025-09-05,2025-09-14,Delayed - carrier exception,"Denver, CO"
ORD101231,FedEx,US8370674741,2026-06-19,2026-06-27,Delayed - carrier exception,"Seattle, WA"
ORD101232,USPS,DH7853249239,2025-08-05,2025-08-13,Delivered,"Miami, FL"
ORD101233,FedEx,FE9231135808,2026-01-03,2026-01-05,Delivered,"Denver, CO"
ORD101234,USPS,DH3819403925,2025-09-20,2025-09-25,In Transit,"Austin, TX"
ORD101235,USPS,DH9741051158,2026-05-13,2026-05-20,Delivered,"Denver, CO"
ORD101236,DHL,UP4539577054,2026-02-20,2026-03-01,Delivered,"Seattle, WA"
ORD101237,DHL,UP3291224511,2025-09-27,2025-10-03,Delivered,"Austin, TX"
ORD101238,USPS,US9490903327,2026-06-06,2026-06-09,In Transit,"Raleigh, NC"
ORD101239,DHL,DH7225299032,2026-02-28,2026-03-02,Delivered,"Boston, MA"
ORD101240,DHL,UP9576673728,2026-01-20,2026-01-27,Delivered,"Nashville, TN"
ORD101241,USPS,US7135456306,2025-09-14,2025-09-16,In Transit,"Seattle, WA"
ORD101242,DHL,FE2785346696,2025-12-01,2025-12-10,Out for Delivery,"San Diego, CA"
ORD101243,USPS,FE3826879632,2026-04-04,2026-04-10,Out for Delivery,"Phoenix, AZ"
ORD101244,USPS,DH5713283011,2026-05-31,2026-06-09,In Transit,"Seattle, WA"
ORD101245,USPS,UP7936750184,2025-12-22,2025-12-28,Delivered,"Chicago, IL"
ORD101246,USPS,DH8535927440,2025-08-11,2025-08-19,Delivered,"Phoenix, AZ"
ORD101248,USPS,FE6893899132,2026-03-19,2026-03-24,Delivered,"Salt Lake City, UT"
ORD101249,UPS,FE2446606165,2025-09-21,2025-09-27,In Transit,"Denver, CO"
ORD101250,USPS,DH9734440794,2025-08-24,2025-08-30,Delivered,"Minneapolis, MN"
ORD101251,USPS,UP1063622074,2025-11-08,2025-11-14,Delivered,"Atlanta, GA"
ORD101252,DHL,FE6584331165,2026-07-21,2026-07-30,Delivered,"Chicago, IL"
ORD101254,FedEx,UP8445917190,2026-07-10,2026-07-13,Delivered,"Nashville, TN"
ORD101255,FedEx,UP2124566911,2026-07-02,2026-07-08,In Transit,"Denver, CO"
